petname,sex,species,bornAt
Moxie,Other,Rabbit,2012-03-11
Norma,Male,Dog,2012-12-16
Scoob,Female,oCat,2013-08-14
Sienn,Other,Bird,2014-01-13
Squir,Male,Snake,2014-03-14
Titus,Female,Cow,2014-03-28
Zorro,Other,Horse,2015-10-25
Floyd,Male,Fish,2016-08-08
Golia,Female,Rat,2017-01-08
Grady,Other,Rabbit,2017-08-05
Lakot,Male,Dog,2019-04-27
Owen,Female,Cat,2019-07-19
Sami,Other,Bird,2020-02-08
Shamr,Male,Snake,2005-05-23
Snoop,Female,Cow,2006-05-11
Tango,Other,Horse,2007-01-26
Trini,Male,Fish,2007-10-18
Truma,Female,Rat,2009-12-20
Auror,Other,Rabbit,2010-03-06
Curly,Male,Dog,2011-08-29
Foste,Female,Cat,2011-10-06
Fredd,Other,Bird,2012-05-16
Meeko,Male,Snake,2012-09-20
Rowdy,Female,Cow,2012-12-22
Skip,Other,Horse,2012-12-24
Skitt,Male,Fish,2015-09-24
Snowf,Female,Rat,2016-04-11
Sport,Other,Rabbit,2016-05-24
Bowse,Male,Dog,2016-09-01
Dash,Female,Cat,2017-05-10
Nicho,Other,Bird,2018-01-15
Porte,Male,Snake,2018-09-18
Rylee,Female,Cow,2019-01-26
Addie,Other,Horse,2020-01-17
Brews,Male,Fish,2020-05-28
Fletc,Female,Rat,2020-08-26
Kylie,Other,Rabbit,2021-03-06
Patri,Male,Dog,2021-08-01
Barle,Female,Cat,2006-02-02
Benso,Other,Bird,2007-07-22
Maxi,Male,Snake,2008-06-13
Nelly,Female,Cow,2009-07-24
Opie,Other,Horse,2009-09-23
Pierr,Male,Fish,2009-11-07
Rory,Female,Rat,2010-04-29
Skyla,Other,Rabbit,2010-08-18
Bugsy,Male,Dog,2010-09-10
Dj,Female,Cat,2011-05-05
Eva,Other,Bird,2011-07-18
Georg,Male,Snake,2012-03-11
Grett,Female,Cow,2012-12-16
Scott,Other,Horse,2013-08-14
Axel,Male,Fish,2014-01-13
Jed,Female,Rat,2014-03-14
Kiwi,Other,Rabbit,2014-03-28
Kobi,Male,Dog,2015-10-25
Light,Female,Cat,2016-08-08
Theo,Other,Bird,2017-01-08
Velve,Male,Snake,2017-08-05
Bj,Female,Cow,2019-04-27
Ivan,Other,Horse,2019-07-19
Lexy,Male,Fish,2020-02-08
Pj,Female,Rat,2005-05-23
Scarl,Other,Rabbit,2006-05-11
Bubbl,Male,Dog,2007-01-26
Lilli,Female,Cat,2007-10-18
Monte,Other,Bird,2009-12-20
Rock,Male,Snake,2010-03-06
Sandi,Female,Cow,2011-08-29
Zelda,Other,Horse,2011-10-06
Bogar,Male,Fish,2012-05-16
Elsa,Female,Rat,2012-09-20
Eve,Other,Rabbit,2012-12-22
Jetta,Male,Dog,2012-12-24
Keesh,Female,Cat,2015-09-24
Linus,Other,Bird,2016-04-11
Mulli,Male,Snake,2016-05-24
Nico,Female,Cow,2016-09-01
Nike,Other,Horse,2017-05-10
Nova,Male,Fish,2018-01-15
Pudge,Female,Rat,2018-09-18
Shady,Other,Rabbit,2019-01-26
Cowbo,Male,Dog,2020-01-17
Kille,Female,Cat,2020-05-28
Lance,Other,Bird,2020-08-26
Louis,Male,Snake,2021-03-06
Matty,Female,Cow,2021-08-01
Mitzi,Other,Horse,2006-02-02
Petie,Male,Fish,2007-07-22
Pooh,Female,Rat,2008-06-13
Shell,Other,Rabbit,2009-07-24
Zak,Male,Dog,2009-09-23
Augie,Female,Cat,2009-11-07
Bogie,Other,Bird,2010-04-29
Gia,Male,Snake,2010-08-18
KC,Female,Cow,2010-09-10
Mitzy,Other,Horse,2011-05-05
Scott,Male,Fish,2011-07-18
Watso,Female,Rat,2012-03-11
Gina,Other,Rabbit,2012-12-16
JoJo,Male,Dog,2013-08-14
Sid,Female,Cat,2014-01-13
Chewb,Other,Bird,2014-03-14
Chica,Male,Snake,2014-03-28
Cyrus,Female,Cow,2015-10-25
Dude,Other,Horse,2016-08-08
Frank,Male,Fish,2017-01-08
Kato,Female,Rat,2017-08-05
Lobo,Other,Rabbit,2019-04-27
Mona,Male,Dog,2019-07-19
Pepsi,Female,Cat,2020-02-08
Roxi,Other,Bird,2005-05-23
Stitc,Male,Snake,2006-05-11
Einst,Female,Cow,2007-01-26
Felix,Other,Horse,2007-10-18
Jazmi,Male,Fish,2009-12-20
Larry,Female,Rat,2010-03-06
Cleop,Other,Rabbit,2011-08-29
Conno,Male,Dog,2011-10-06
Darcy,Female,Cat,2012-05-16
Munch,Other,Bird,2012-09-20
Ponch,Male,Snake,2012-12-22
Puddl,Female,Cow,2012-12-24
Bloss,Other,Horse,2015-09-24
Boris,Male,Fish,2016-04-11
Cupca,Female,Rat,2016-05-24
Emmet,Other,Rabbit,2016-09-01
Frodo,Male,Dog,2017-05-10
Leia,Female,Cat,2018-01-15
Mo,Other,Bird,2018-09-18
Nanoo,Male,Snake,2019-01-26
Starr,Female,Cow,2020-01-17
Troy,Other,Horse,2020-05-28
Vegas,Male,Fish,2020-08-26
Wolf,Female,Rat,2021-03-06
Brist,Other,Rabbit,2021-08-01
India,Male,Dog,2006-02-02
Kaya,Female,Cat,2007-07-22
Koby,Other,Bird,2008-06-13
Reno,Male,Snake,2009-07-24
Vinni,Female,Cow,2009-09-23
Wendy,Other,Horse,2009-11-07
Arthu,Male,Fish,2010-04-29
Butte,Female,Rat,2010-08-18
Carte,Other,Rabbit,2010-09-10
Coda,Male,Dog,2011-05-05
Lenny,Female,Cat,2011-07-18
Orion,Other,Bird,2012-03-11
Pooki,Male,Snake,2012-12-16
Thump,Female,Cow,2013-08-14
Wiggl,Other,Horse,2014-01-13
Buzz,Male,Fish,2014-03-14
Caleb,Female,Rat,2014-03-28
Cheec,Other,Rabbit,2015-10-25
Chris,Male,Dog,2016-08-08
Gordo,Female,Cat,2017-01-08
Gunna,Other,Bird,2017-08-05
Honey,Male,rSnake,2019-04-27
Macey,Female,Cow,2019-07-19
Pokey,Other,Horse,2020-02-08
Venus,Male,Fish,2005-05-23
Achil,Female,Rat,2006-05-11
Brock,Other,Rabbit,2007-01-26
Carme,Male,Dog,2007-10-18
Dale,Female,Cat,2009-12-20
Emmie,Other,Bird,2010-03-06
Gibso,Male,Snake,2011-08-29
Jr,Female,Cow,2011-10-06
Julie,Other,Horse,2012-05-16
Lady,Male,Fish,2012-09-20
Luigi,Female,Rat,2012-12-22
Pickl,Other,Rabbit,2012-12-24
Wishb,Male,Dog,2015-09-24
Basil,Female,Cat,2016-04-11
Beeth,Other,Bird,2016-05-24
Chaos,Male,Snake,2016-09-01
Chero,Female,Cow,2017-05-10
Dingo,Other,Horse,2018-01-15
Dubli,Male,Fish,2018-09-18
Elsie,Female,Rat,2019-01-26
Rags,Other,Rabbit,2020-01-17
Sheil,Male,Dog,2020-05-28
Tramp,Female,Cat,2020-08-26
Wiley,Other,Bird,2021-03-06
Demon,Male,Snake,2021-08-01
Lou,Female,Cow,2006-02-02
Patty,Other,Horse,2007-07-22
Tito,Male,Fish,2008-06-13
Tj,Female,Rat,2009-07-24
Banjo,Other,Rabbit,2009-09-23
Bones,Male,Dog,2009-11-07
Cisco,Female,Cat,2010-04-29
Fancy,Other,Bird,2010-08-18
Isabe,Male,Snake,2010-09-10
Jingl,Female,Cow,2011-05-05
Newma,Other,Horse,2011-07-18
Pip,Male,Fish,2012-03-11
Russe,Female,Rat,2012-12-16
Scamp,Other,Rabbit,2013-08-14
Tessi,Male,Dog,2014-01-13
Walke,Female,Cat,2014-03-14
Aries,Other,Bird,2014-03-28
Blu,Male,Snake,2015-10-25
Choco,Female,Cow,2016-08-08
Chyna,Other,Horse,2017-01-08
Hoss,Male,Fish,2017-08-05
Iris,Female,Rat,2019-04-27
Lena,Other,Rabbit,2019-07-19
Mary,Male,Dog,2020-02-08
Percy,Female,Cat,2005-05-23
Peyto,Other,Bird,2006-05-11
Shayn,Male,Snake,2007-01-26
Alley,Female,Cow,2007-10-18
Apach,Other,Horse,2009-12-20
Denal,Male,Fish,2010-03-06
Desi,Female,Rat,2011-08-29
Ellio,Other,Rabbit,2011-10-06
Fergu,Male,Dog,2012-05-16
Ginny,Female,Cat,2012-09-20
Jessi,Other,Bird,2012-12-22
Lucie,Male,Snake,2012-12-24
Midge,Female,Cow,2015-09-24
Phant,Other,Horse,2016-04-11
Smudg,Male,Fish,2016-05-24
Stewi,Female,Rat,2016-09-01
Wilbu,Other,Rabbit,2017-05-10
Carle,Male,Dog,2018-01-15
Chili,Female,Cat,2018-09-18
Gucci,Other,Bird,2019-01-26
Gwen,Male,Snake,2020-01-17
Kyra,Female,Cow,2020-05-28
Meeka,Other,Horse,2020-08-26
Pooh,Male,Fish,2021-03-06
Randy,Female,Rat,2021-08-01
Rio,Other,Rabbit,2006-02-02
Ruper,Male,Dog,2007-07-22
Spook,Female,Cat,2008-06-13
Tammy,Other,Bird,2009-07-24
Tobi,Male,Snake,2009-09-23
Whitn,Female,Cow,2009-11-07
Deaco,Other,Horse,2010-04-29
Gabe,Male,Fish,2010-08-18
Grizz,Female,Rat,2010-09-10
Herbi,Other,Rabbit,2011-05-05
Josh,Male,Dog,2011-07-18
Paddy,Female,Cat,2012-03-11
Petun,Other,Bird,2012-12-16
Pooch,Male,Snake,2013-08-14
Pranc,Female,Cow,2014-01-13
River,Other,Horse,2014-03-14
Roseb,Male,Fish,2014-03-28
Spark,Female,Rat,2015-10-25
Zacha,Other,Rabbit,2016-08-08
Amand,Male,Dog,2017-01-08
